id,name,category,subcategory,description,manufacturer,product_code,embodied_carbon,unit,alternative_units,a1_a3,a4,a5,c1_c4,d,source,epd_number,epd_url,valid_from,valid_until,is_epd_verified,epd_type,density,strength_mpa,thermal_conductivity,r_value,recycled_content,recyclability,certified_sustainable,carbon_sequestration,biogenic_carbon,state_origin,australian_made,regional_availability,typical_cost,currency,cost_year,tags,data_quality,data_source_org,reference_standard,geographic_validity,technology,notes,original_id,is_active,created_at,updated_at,created_by,updated_by
550e8400-e29b-41d4-a716-446655440021,Treated Pine Softwood,timber,softwood,"Plantation softwood treated with H3 preservative. Fast-growing renewable resource.",Hyne Timber,,150.000,m3,"[""m3"", ""tonnes"", ""bd ft""]",0.650,0.250,0.100,,,-450.000,AusLCI,,,,,industry-average,550.00,,,,,TRUE,-450.000,-550.000,QLD,TRUE,"[""QLD"", ""NSW"", ""VIC"", ""SA""]",890.00,AUD,2024,"[""carbon-negative"", ""plantation"", ""treated""]",3,AusLCI,AS/NZS 1080.1,Australia,Plantation pine with H3 CCA treatment,Standard framing timber from sustainable plantations,TIMBER-SW-001,TRUE,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00,system,system
550e8400-e29b-41d4-a716-446655440022,Laminated Veneer Lumber (LVL),timber,engineered,"Engineered structural timber made from bonded veneers. Consistent properties and high strength.",Hyne Timber,HYNE-LVL-13,350.000,m3,"[""m3"", ""tonnes""]",0.850,0.080,0.070,,,-250.000,EPD Australasia,EPD-AUS-20230134,https://epd-australasia.com/epd/23134,2023-05-01,2028-05-01,TRUE,product-specific,650.00,44.00,,,0.00,80.00,TRUE,-250.000,-420.000,QLD,TRUE,"[""QLD"", ""NSW"", ""VIC""]",1320.00,AUD,2024,"[""engineered"", ""structural"", ""carbon-storing""]",5,Hyne Timber,AS/NZS ISO 14025:2013,Australia,Veneers glued under pressure with phenolic resin,High-performance engineered structural timber,TIMBER-LVL-001,TRUE,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00,system,system
550e8400-e29b-41d4-a716-446655440023,Glue-Laminated Timber (Glulam),timber,engineered,"Large-span structural beams made from laminated timber sections. Replaces steel beams in many applications.",Carter Holt Harvey,,380.000,m3,"[""m3"", ""tonnes""]",0.840,0.090,0.070,,,-280.000,AusLCI,,,,,industry-average,450.00,,,,,TRUE,-280.000,-350.000,VIC,TRUE,"[""VIC"", ""NSW"", ""QLD""]",1580.00,AUD,2024,"[""engineered"", ""structural"", ""large-span""]",3,AusLCI,AS/NZS 1328.1,Australia,Laminated timber with structural adhesive,Engineered beams for long spans and feature elements,TIMBER-GLULAM-001,TRUE,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00,system,system
550e8400-e29b-41d4-a716-446655440024,Cross-Laminated Timber (CLT),timber,engineered,"Revolutionary mass timber panels. Enabling mid-rise timber buildings up to 10+ stories.",XLam Australia,XLAM-CLT-140,420.000,m3,"[""m3"", ""tonnes"", ""m2""]",0.860,0.080,0.060,,,-350.000,EPD Australasia,EPD-AUS-20230156,https://epd-australasia.com/epd/23156,2023-08-01,2028-08-01,TRUE,product-specific,485.00,24.00,0.1300,0.770,0.00,85.00,TRUE,-350.000,-520.000,VIC,TRUE,"[""VIC"", ""NSW"", ""QLD""]",1850.00,AUD,2024,"[""mass-timber"", ""engineered"", ""mid-rise"", ""innovative"", ""carbon-storing""]",5,XLam Australia,AS/NZS ISO 14025:2013,Australia,Cross-laminated softwood panels with structural adhesive,Game-changing mass timber for mid-rise construction,TIMBER-CLT-001,TRUE,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00,system,system
550e8400-e29b-41d4-a716-446655440030,Clay Brick (Extruded),masonry,brick,"Traditional fired clay brick. High embodied carbon due to kiln firing at 1000C.",Brickworks,,240.000,tonnes,"[""tonnes"", ""kg"", ""per 1000""]",0.910,0.050,0.040,0.010,-0.005,AusLCI,,,,,industry-average,1800.00,,,,,5.00,15.00,FALSE,,,NSW,TRUE,"[""NSW"", ""VIC"", ""QLD"", ""SA"", ""WA""]",850.00,AUD,2024,"[""traditional"", ""masonry""]",3,AusLCI,ICE Database v3.0,Australia,Clay extraction and tunnel kiln firing,Standard clay brick for veneer and structural use,BRICK-CLAY-001,TRUE,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00,system,system
550e8400-e29b-41d4-a716-446655440031,Concrete Block (Hollow),masonry,block,"Hollow concrete masonry units. More sustainable than solid blocks due to less material.",CSR Hebel,,45.000,m2,"[""m2"", ""each"", ""m3""]",0.880,0.060,0.060,0.012,-0.008,AusLCI,,,,,industry-average,1400.00,3.50,,,0.00,80.00,FALSE,,,VIC,TRUE,"[""VIC"", ""NSW"", ""QLD"", ""SA"", ""WA""]",38.00,AUD,2024,"[""masonry"", ""block""]",3,AusLCI,AS/NZS 4456.4,Australia,Concrete block pressing,Standard concrete blocks for walls,BLOCK-CONC-001,TRUE,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00,system,system
550e8400-e29b-41d4-a716-446655440032,AAC Block (Autoclaved Aerated Concrete),masonry,aac,"Lightweight insulating blocks with good thermal performance. Lower density than standard concrete blocks.",CSR Hebel,PowerBlock,85.000,m2,"[""m2"", ""m3""]",0.890,0.060,0.050,0.012,-0.008,EPD Australasia,EPD-AUS-20230078,https://epd-australasia.com/epd/12378,2023-02-20,2028-02-20,TRUE,product-specific,550.00,4.00,0.1600,0.625,0.00,50.00,FALSE,,,NSW,TRUE,"[""NSW"", ""VIC"", ""QLD"", ""SA"", ""WA""]",68.00,AUD,2024,"[""lightweight"", ""insulating"", ""thermal-mass""]",5,CSR Hebel,AS/NZS ISO 14025:2013,Australia,Autoclaved aerated concrete technology,Lightweight insulating masonry blocks,BLOCK-AAC-001,TRUE,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00,system,system
550e8400-e29b-41d4-a716-446655440040,Glasswool Batts R2.5,insulation,glasswool,"Bulk insulation made from recycled glass. Good thermal and acoustic performance.",Knauf Earthwool,R2.5-90mm,5.200,m2,"[""m2"", ""m3""]",0.880,0.060,0.060,0.008,-0.012,EPD Australasia,EPD-AUS-20230112,https://epd-australasia.com/epd/12412,2023-04-15,2028-04-15,TRUE,product-specific,12.00,,0.0400,2.500,80.00,95.00,FALSE,,,VIC,TRUE,"[""VIC"", ""NSW"", ""QLD"", ""SA"", ""WA"", ""TAS""]",12.50,AUD,2024,"[""insulation"", ""recycled"", ""thermal"", ""acoustic""]",5,Knauf,AS/NZS ISO 14025:2013,Australia,Melted recycled glass with binder,Standard bulk insulation for walls and ceilings,INSUL-GLASS-001,TRUE,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00,system,system
550e8400-e29b-41d4-a716-446655440041,Rockwool R2.5,insulation,rockwool,"Stone wool insulation with excellent fire resistance. Non-combustible.",Bradford Rockwool,R2.5-90mm,6.800,m2,"[""m2"", ""m3""]",0.870,0.070,0.060,0.010,-0.010,AusLCI,,,,,industry-average,40.00,,0.0380,2.500,40.00,90.00,FALSE,,,NSW,TRUE,"[""NSW"", ""VIC"", ""QLD"", ""SA"", ""WA""]",18.50,AUD,2024,"[""insulation"", ""fire-resistant"", ""non-combustible""]",3,AusLCI,AS/NZS 4859.1,Australia,Melted basalt rock spun into fibers,Fire-resistant mineral wool insulation,INSUL-ROCK-001,TRUE,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00,system,system
550e8400-e29b-41d4-a716-446655440042,Polyester Insulation R2.5,insulation,polyester,"Made from recycled PET bottles. No itch factor and good handling.",Autex GreenStuf,R2.5-90mm,4.500,m2,"[""m2"", ""m3""]",0.850,0.080,0.070,0.015,-0.015,AusLCI,,,,,industry-average,15.00,,0.0420,2.500,85.00,100.00,FALSE,,,VIC,TRUE,"[""VIC"", ""NSW"", ""QLD""]",16.80,AUD,2024,"[""insulation"", ""recycled-pet"", ""non-allergenic""]",3,AusLCI,AS/NZS 4859.1,Australia,Recycled PET thermobonded into batts,Sustainable insulation from recycled plastic bottles,INSUL-POLY-001,TRUE,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00,system,system
